School name,Address,Community
St. John Bosco High School,13640 Bellflower Blvd . 33°54′24″N 118°07′28″W / 33.90667°N 118.12444°W / 33.90667 ; -118.12444 ( St. John Bosco High School ),Bellflower
Queen of Angels Academy,823 East Compton Blvd . 33°53′45″N 118°12′51″W / 33.89583°N 118.21417°W / 33.89583 ; -118.21417 ( Queen of Angels Academy ),Compton
St. Matthias High School,7851 Gardendale St. 33°55′11″N 118°09′34″W / 33.91972°N 118.15944°W / 33.91972 ; -118.15944 ( St. Matthias High School ),Downey
Junipero Serra High School,14830 South Van Ness Ave. 33°53′48″N 118°19′03″W / 33.89667°N 118.31750°W / 33.89667 ; -118.31750 ( Junipero Serra High School ),Gardena
St. Joseph High School,5825 North Woodruff Ave. 33°51′37″N 118°07′04″W / 33.86028°N 118.11778°W / 33.86028 ; -118.11778 ( St. Joseph High School ),Lakewood
St. Anthony High School,620 Olive Ave. 33°46′29″N 118°10′55″W / 33.77472°N 118.18194°W / 33.77472 ; -118.18194 ( St. Anthony High School ),Long Beach
Don Bosco High School,1151 San Gabriel Blvd . 34°02′29″N 118°05′13″W / 34.04139°N 118.08694°W / 34.04139 ; -118.08694 ( Don Bosco High School ),Rosemead
Mary Star of the Sea High School,2500 N. Taper Ave,San Pedro
St. Paul High School,9635 Greenleaf Ave. 33°57′04″N 118°03′09″W / 33.95111°N 118.05250°W / 33.95111 ; -118.05250 ( St. Paul High School ),Santa Fe Springs
Bishop Montgomery High School,5430 Torrance Blvd . 33°50′12″N 118°22′21″W / 33.83667°N 118.37250°W / 33.83667 ; -118.37250 ( Bishop Montgomery High School ),Torrance
