Album or song,Artist,Date,US Pop chart
3614 Jackson Highway,Cher,1969,
Boz Scaggs,Boz Scaggs,1969,
"Take a Letter , Maria",R. B. Greaves,"1969 , August 19 ,",# 2
Muscle Shoals Nitty Gritty,Herbie Mann,( Released 1970 ),
Brown Sugar,The Rolling Stones,"December 2-4 , 1969 ( Released 1971 )",# 1
Wild Horses,The Rolling Stones,"December 2-4 , 1969 ( Released 1971 )",# 28
Starting All Over Again,Mel & Tim,"1972 , May",# 19
I 'll Take You There,Staple Singers,1972,# 1
Kodachrome,Paul Simon,1973,# 2
Loves Me Like a Rock,Paul Simon,1973,# 2
One More River to Cross,Canned Heat,1973,
Do n't Your Plums Look Mellow Hanging on Your Tree,Big Joe Williams,1974,
Atlantic Crossing,Rod Stewart,1974-1975 ( released 1975 ),
Breakaway,Art Garfunkel,1975,
Katmandu,Bob Seger,1975,# 43
No Reservations,Blackfoot,1975,
Flyin ' High,Blackfoot,1976,
Night Moves,Bob Seger,1976,# 8
Mainstreet,Bob Seger,1976,# 24 ( in 1977 )
Izitso,Cat Stevens,1976,# 7 ( in 1977 )
