#,Name,Pos,College,GP,Seasons
46,Dale Hackbart,DB,Wisconsin,40,1961-63
50,Fred Hageman,LB,Arkansas,55,1961-64
72,Mike Haight,OL,Iowa,7,1992
6,Ali Haji-Sheikh,K,Michigan,11,1987
43,Dick Haley,CB,Pittsburgh,22,1959-60
99,Jermaine Haley,DT,Butte College,19,2003-04
23,DeAngelo Hall,CB / S,Virginia Tech,106,2008-17
10,John Hall,K,Wisconsin,39,2003-06
40,Windlan Hall,CB,Arizona State,8,1977
78,Dean Hamel,DT,Tulsa,60,1985-88
55,Malcolm Hamilton,LB,Baylor,6,1998-99
56,Rick Hamilton,LB,Central Florida,17,1993-94
51,Shaun Dion Hamilton,LB,Alabama,16,2018- present
64,Steve Hamilton,DE,East Carolina,46,1985-88
34,Bobby Hammond,RB,Morgan State,20,1979-80
55,Chris Hanburger,LB,North Carolina,187,1965-78
84,Mike Hancock,TE,Idaho State,21,1973-74
85,Leonard Hankerson,WR,Miami ( FL ),31,2011-14
39,Zip Hanna,G,South Carolina,9,1945
69,Ron Hansen,G,Minnesota,12,1954
