Call sign,Launched,Transmitting from,Coverage,Languages,Frequency
XEZV,10 May 1979,Guerrero ( Tlapa de Comonfort ),Guerrero Oaxaca Puebla,Nahuatl Mixtec Tlapanec,800 AM
XETLA XHPBSD,15 September 1982,Oaxaca ( Tlaxiaco ),Oaxaca Guerrero Puebla,Mixtec Triqui,930 AM 95.9 FM
XEPUR,2 October 1982,Michoacán ( Cherán ),Michoacán,Purepecha,830 AM
XETAR,11 November 1982,Chihuahua ( Guachochi ),Chihuahua Sinaloa Durango,Tarahumara Tepehuano,870 AM
XHPET XEPET,29 November 1982,Yucatán ( Peto ),Yucatán Quintana Roo Campeche,Yucatec Maya,105.5 FM 730 AM
XEVFS,27 April 1987,Chiapas ( Las Margaritas ),Chiapas Guatemala,Tojolabal Mam Tseltal Tsotsil Popti,1030 AM
XEANT,28 September 1990,San Luis Potosí ( Tancanhuitz de Santos ),San Luis Potosí Hidalgo Querétaro Veracruz,Nahuatl Pame Wastek,770 AM
XEGLO XHGJO,18 November 1990,Oaxaca ( Guelatao de Juárez ),Oaxaca Veracruz,Zapotec Mixe Chinantec,780 AM 88.3 FM
XEZON,20 November 1991,Veracruz ( Zongolica ),Veracruz Oaxaca Puebla Tlaxcala,Nahuatl,1360 AM
XEOJN,14 December 1991,Oaxaca ( San Lucas Ojitlán ),Oaxaca Puebla Veracruz,Mazatec Cuicatec Chinantec,950 AM
XEJMN,3 April 1992,Nayarit ( Jesús María ),Nayarit Jalisco Durango Zacatecas,Cora Huichol Tepehuano Nahuatl,750 AM
XEJAM,5 May 1994,Oaxaca ( Santiago Jamiltepec ),Oaxaca Guerrero,Mixtec Amuzgo Chatino,1260 AM
XEQIN XHSQB,15 June 1994,Baja California ( San Quintín ),Baja California,Mixtec Zapotec Triqui,1160 AM 95.1 FM
XECTZ,21 August 1994,Puebla ( Cuetzalan ),Puebla Hidalgo Veracruz,Nahuatl Totonac,1260 AM
XEXPUJ,22 January 1996,Campeche ( Xpujil ),Campeche Quintana Roo,Yucatec Maya Ch'ol,700 AM
XEETCH,19 February 1996,Sonora ( Etchojoa ),Sonora Sinaloa Chihuahua,Mayo Yaqui Guarijio,700 AM
XECOPA,17 July 1997,Chiapas ( Copainalá ),Chiapas Tabasco,Zoque Tzotzil,1210 AM
XHTUMI XETUX,12 May 1998,Michoacán ( Tuxpan ),Michoacán Edo . de México Querétaro,Mazahua Otomi,107.9 FM 1010 AM
XHCARH XECARH,1 August 1998,Hidalgo ( Cardonal ),Hidalgo Querétaro Veracruz San Luis Potosí,Ñha-ñhu Nahuatl,89.1 FM 1480 AM
XHNKA XEFEL,15 June 1999,Quintana Roo ( Felipe Carrillo Puerto ),Quintana Roo,Yucatec Maya,104.5 FM 1030 AM
