Year,Title,Role
1991,Shout,Rebecca
1991,Hook,Young Wendy Darling
1992,Cruel Doubt,Angela Pritchard
1993,Deadly Relations,Carol Ann Fagot Applegarth Holland
1993,Malice,Paula Bell
1993,Flesh and Bone,Ginnie
1994,Mrs. Parker and the Vicious Circle,Paula Hunt
1995,Higher Learning,Student
1995,Jefferson in Paris,Patsy Jefferson
1995,Seven,Tracy Mills
1995,Moonlight and Valentino,Lucy Trager
1996,Hard Eight,Clementine
1996,The Pallbearer,Julie DeMarco
1996,Emma,Emma Woodhouse
1998,Sliding Doors,Helen Quilley
1998,Great Expectations,Estella Havisham
1998,Hush,Helen Baring
1998,A Perfect Murder,Emily Bradford Taylor
1998,Shakespeare in Love,Viola de Lesseps
1999,The Talented Mr. Ripley,Marge Sherwood
