Rank,Player,Team,Appearances,Year
1,Stephen Cluxton,Dublin,105,2001-
2,Sean Cavanagh,Tyrone,89,2002-2017
3,Marc Ó Sé,Kerry,88,2002-2015
4,Tomás Ó Sé,Kerry,88,1998-2013
5,Colm Cooper,Kerry,85,2002-2016
6,Andy Moran,Mayo,84,2004-2019
7,Darragh Ó Sé,Kerry,81,1997-2010
8,Tom O'Sullivan,Kerry,76,2000-2011
9,Conor Gormley,Tyrone,75,2001-2014
10,Brian Dooher,Tyrone,73,1995-2011
10,Ross Munnelly,Laois,73,2003-
12,Keith Higgins,Mayo,74,2005-
13,John O'Leary,Dublin,70,1980-1997
13,Declan O'Sullivan,Kerry,70,2003-14
13,Aidan O'Mahony,Kerry,70,2004-17
