Date,Co-Hosts,Guests/Segments
July 2,Regis Philbin & Kelly Ripa,"Claire Danes , Jerry Mathers , Shaquille O'Neal"
July 3,Regis Philbin & Kelly Ripa,"Josh Duhamel , Anneliese van der Pol"
July 4,Regis Philbin & Kelly Ripa,"Aly and AJ , Petra Němcová , Jim Cramer"
July 5,Regis Philbin & Kelly Ripa,"Kevin Dillon , Connie Britton , Lloyd"
July 6,Regis Philbin & Kelly Ripa,"Miley Cyrus , Pamela Anderson & Hans Klok , DJ JS-1 , Grill Friday"
July 9,Regis Philbin & Kelly Ripa,"Jason Priestley , Alan Cumming , Jeff Gordon , Kat DeLuna"
July 10,Regis Philbin & Kelly Ripa,"Don Cheadle , Bernadette Peters , James Blake"
July 11,Regis Philbin & Kelly Ripa,"Daniel Radcliffe , Sienna Miller , T-Pain"
July 12,Regis Philbin & Kelly Ripa,"Emma Watson , Finola Hughes , Maroon 5"
July 13,Regis Philbin & Kelly Ripa,"Abigail Breslin , Joey Fatone , Grill Friday"
July 16,Regis Philbin & Kelly Ripa,"Queen Latifah , Blair Underwood , Family Fitness Week"
July 17,Regis Philbin & Kelly Ripa,"John Travolta , Family Fitness Week"
July 18,Regis Philbin & Kelly Ripa,"Adam Sandler , Zac Efron , Family Fitness Week"
July 19,Regis Philbin & Kelly Ripa,"Jessica Biel , Hi-5 , Family Fitness Week"
July 20,Regis Philbin & Kelly Ripa,"Kevin James , Family Fitness Week , Grill Friday"
July 23,Regis Philbin & Kelly Ripa,"Scott Baio , Lifehouse"
July 24,Regis Philbin & Kelly Ripa,"Christopher Walken , Kellie Pickler , Jennifer Hudson"
July 25,Regis Philbin & Kelly Ripa,"Katharine McPhee , Aaron Eckhart"
July 26,Regis Philbin & Kelly Ripa,"Jennifer Lopez , Nikki Blonsky"
July 27,Regis Philbin & Kelly Ripa,"Catherine Zeta-Jones , Paul Rudd , Grill Friday"
