City,Trümmerberg,Elevation ( above sea level ),Height ( relative )
Berlin,Teufelsberg,114.7 meters ( 376 ft ),55 meters ( 180 ft )
Berlin,Oderbruchkippe,91 meters ( 299 ft ),
Berlin,Dörferblick,86 meters ( 282 ft ),
Berlin,Humboldthöhe,85 meters ( 279 ft ),
Berlin,Großer and Kleiner Bunkerberg ( Volkspark Friedrichshain ),78 meters ( 256 ft ),40 meters ( 130 ft )
Berlin,Insulaner,75 meters ( 246 ft ),
Berlin,Tempelhofer Marienhöhe,73 meters ( 240 ft ),
Berlin,Rixdorfer Höhe,68 meters ( 223 ft ),
Cologne,Herkulesberg,72.2 meters ( 237 ft ),approx . 25 meters ( 82 ft )
Dresden,Trümmerberg in Ostragehege,,
Frankfurt am Main,Monte Scherbelino,172.5 meters ( 566 ft ),approx . 47 meters ( 154 ft )
Hannover,Monte Müllo,122 meters ( 400 ft ),approx . 65 meters ( 213 ft )
Leipzig,Fockeberg,153 meters ( 502 ft ),approx . 40 meters ( 130 ft )
Mönchengladbach,Rheydter Höhe,133 meters ( 436 ft ),64 meters ( 210 ft )
Munich,Olympiaberg,"567 meters ( 1,860 ft )",50 meters ( 160 ft )
Munich,Luitpoldhügel,"540 meters ( 1,770 ft )",37 meters ( 121 ft )
Munich,Neuhofener Berg,,
Nuremberg,Silberbuck,"356 meters ( 1,168 ft )",38 meters ( 125 ft )
Pforzheim,Wallberg,"418 meters ( 1,371 ft )",40 meters ( 130 ft )
Stuttgart,Birkenkopf,"511 meters ( 1,677 ft )",40 meters ( 130 ft )
