Year,Recipient,Institute,Country
1985,Semir Zeki,University College London,United Kingdom
1986,Gian F. Poggio,"The Johns Hopkins School of Medicine , Baltimore",United States
1987,David Sparks,"Baylor College of Medicine , Houston , Texas",US
1988,Denis Baylor,"Stanford University , Stanford",US
1989,Jeremy Nathans,"The Johns Hopkins School of Medicine , Baltimore",US
1990,John M. Allman,"California Institute of Technology , Pasadena",US
1991,Robert H. Wurtz,"National Eye Institute , Bethesda , Maryland",US
1992,William T. Newsome,"Stanford University , Stanford",US
1993,Rudiger von der Heydt,"Johns Hopkins School of Medicine , Baltimore",US
1994,Robert Desimone,"National Institute of Mental Health , Bethesda , Maryland",US
1995,Antonio R. Damasio,"University of Iowa , Iowa City",US
1996,Anne Treisman,"Princeton University , New Jersey",US
1997,Claudio Galletti,University of Bologna,Italy
1998,Heinz Wassle,"Max Planck Institute for Brain Research , Frankfurt",Germany
1999,Nikos Logothetis,"Max-Planck Institute for Biological Cybernetics , Tübingen",Germany
2000,Frederick Miles,"National Eye Institute , Bethesda , Maryland",US
2001,David Perrett,University of St. Andrews,"Scotland , UK"
2002,Wolfram Schultz,University of Cambridge,UK
2003,Karl Friston,University College London,UK
2004,Atsushi Iriki,Tokyo Medical and Dental University,Japan
