Name,Year,Team,Round,Pick
Jeff Alm,1990,Houston Oilers,2,41
Ned Bolcar,1990,Seattle Seahawks,6,146
Mike Brennan,1990,Cincinnati Bengals,4,91
Tony Brooks,1992,Philadelphia Eagles,4,92
Dean Brown,1990,Indianapolis Colts,12,316
Derek Brown,1992,New York Giants,1,14
Rodney Culver,1992,Indianapolis Colts,4,85
Bob Dahl,1991,Cincinnati Bengals,3,72
D'Juan Francisco,1990,Washington Redskins,10,262
Mark Green,1989,Chicago Bears,5,130
Tim Grunhard,1990,Kansas City Chiefs,2,40
Andy Heck,1989,Seattle Seahawks,1,15
Mike Heldt,1991,San Diego Chargers,10,257
Raghib Ismail,1991,Los Angeles Raiders,4,100
Anthony Johnson,1990,Indianapolis Colts,2,36
Andre Jones,1991,Pittsburgh Steelers,7,185
Mirko Jurkovic,1992,Chicago Bears,9,246
Scott Kowalkowski,1991,Philadelphia Eagles,8,216
Todd Lyght,1991,Los Angeles Rams,1,5
Gene McGuire,1992,New Orleans Saints,4,95
