Constituency,Candidate,Votes,%,Position
Blackburn,Philip Snowden,"10,282",26.8,2
Bradford West,Fred Jowett,"4,957",39.1,1
Glasgow Camlachie,Joseph Burgess,"2,568",30.0,3
Halifax,James Parker,"8,937",38.3,2
Huddersfield,T. Russell Williams,"5,813",35.2,2
Keighley,W. T. Newlove,"3,102",26.9,3
Leicester,Ramsay MacDonald,"14,685",39.8,2
Manchester North East,John Robert Clynes,"5,386",64.6,1
Merthyr Tydfil,Keir Hardie,"10,187",32.0,2
Sunderland,Thomas Summerbell,"13,430",31.8,2
Wakefield,Stanton Coit,"2,068",36.9,2
