Team,City,Stadium,Capacity
Alianza Lima,Lima,Alejandro Villanueva,"35,000"
Cienciano,Cusco,Garcilaso,"40,000"
Inti Gas,Ayacucho,Ciudad de Cumaná,"15,000"
José Gálvez,Chimbote,Manuel Rivera Sánchez,"25,000"
Juan Aurich,Chiclayo,Elías Aguirre,"24,500"
León de Huánuco,Huánuco,Heraclio Tapia,"15,000"
Melgar,Arequipa,Virgen de Chapi,"40,217"
Pacífico,Lima,Miguel Grau,"17,000"
Real Garcilaso,Cusco,Garcilaso,"40,000"
Sport Huancayo,Huancayo,Estadio Huancayo,"20,000"
Sporting Cristal,Lima,Alberto Gallardo,"18,000"
Unión Comercio,Nueva Cajamarca,IPD de Moyobamba,"5,000"
Universidad César Vallejo,Trujillo,Mansiche,"25,000"
Universidad San Martín,Lima,Alberto Gallardo,"18,000"
UTC,Cajamarca,Héroes de San Ramón,"18,000"
Universitario,Lima,Monumental,"80,093"
