No,Results,Stipulations
1,Astral and Eléctrico defeated Pequeño Nitro and Pequeño Black Warrior,Best two out of three falls Tag team match
2,"Dalys la Caribeña , Estrellita and Marcela defeated La Amapola , La Comandante and La Seductora",Six-man tag team match
3,"Diamante , Dragon Lee and Tritón defeated Hijo del Signo and La Fiebre Amarilla ( Namajague and Okumura )",Six-man tag team match
4,"Ángel de Oro and El Felino defeated Delta , Hijo del Fantasma , Marco Corleone , Pólvora , Rey Escorpión and Rush",Torneo Nacional De Parejas Increibles seeding Battle royal
5,Black Warrior and Rey Escorpión defeated Pólvora and Stuka Jr,Torneo Nacional De Parejas Increibles 2012 first round Match
6,Marco Corleone and Último Guerrero defeated Hijo del Fantasma and Misterioso Jr,Torneo Nacional De Parejas Increibles 2012 first round Match
7,El Terrible and Rush defeated Delta and Ephesto,Torneo Nacional De Parejas Increibles 2012 first round Match
8,Ángel de Oro and Psicosis II defeated El Felino and Rey Bucanero,Torneo Nacional De Parejas Increibles 2012 first round Match
9,Marco Corleone and Último Guerrero defeated Black Warrior and Rey Escorpión,Torneo Nacional De Parejas Increibles 2012 quarterfinal Match
10,El Terrible and Rush defeated Ángel de Oro and Psicosis,Torneo Nacional De Parejas Increibles 2012 First quarterfinal Match
11,El Terrible and Rush defeated Marco Corleone and Último Guerrero,Torneo Nacional De Parejas Increibles 2012 semifinal Match
