Name,Country,Sport,Details
Marta Bastianelli,Italy,Cycling,Testing at the U-23 world championships
Fani Halkia,Greece,Athletics,Pre-Games testing in Japan
Maria Isabel Moreno,Spain,Cycling,"Pre-Games testing in Olympic village , Beijing"
Tatyana Tomashova,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Yelena Soboleva,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Svetlana Cherkasova,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Yuliya Fomenko,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Darya Pishchalnikova,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Gulfiya Khanafeyeva,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
Olga Yegorova,Russia,Athletics,IAAF out-of-competition tests in May and August 2007
