Year,Winner,Represented,Placement at Miss World
2003,Rosanna Davison,Ireland,Miss World 2003
2004,Nancy Randall,United States,2nd Runner-up
2005,Yulia Ivanova,Russia,Top 15 semifinalist
2006,Federica Guzmán,Venezuela,Top 17 semifinalist
2007,Ada De La Cruz,Dominican Republic,Top 16 semifinalist
2008,Anagabriela Espinoza,Mexico,Top 15 semifinalist
2009,Kaiane Aldorino,Gibraltar,Miss World 2009
2010,Yara Lasanta,Puerto Rico,Top 20 semifinalist
2011,Alize Lily Mounter,England,Top 7 finalist
2012,Sophie Moulds,Wales,1st Runner-up
2013,Sancler Frantz,Brazil,Top 6 finalist
2014,Olivia Asplund,Sweden,Top 25 semifinalist
