Draft,Date held,Host city,Venue
1981,8 October 1981,"Melbourne , Victoria",VFL House
1982,19 October 1982,"Melbourne , Victoria",VFL House
1986,26 November 1986,"Melbourne , Victoria",VFL House
1987,11 November 1987,"Melbourne , Victoria",VFL House
1988,9 November 1988,"Melbourne , Victoria",VFL House
1989,9 November 1989,"Melbourne , Victoria",VFL House
1990,7 November 1990,"Melbourne , Victoria",AFL House
1991,6 November 1991,,
1992,11 November 1992,,
1993,29 October 1993,"Melbourne , Victoria",Radisson President Hotel
1994,28 October 1994,"Melbourne , Victoria",Radisson President Hotel
1995,8 December 1995,,
1996,25 October 1996,,
1997,31 October 1997,"Adelaide , South Australia",Football Park
1998,1 November 1998,"Melbourne , Victoria",Melbourne Park Function Centre
1999,31 October 1999,"Melbourne , Victoria",Melbourne Park Function Centre
2000,29 October 2000,,
2001,25 November 2001,"Melbourne , Victoria",Melbourne Park Function Centre
2002,23 November 2002,"Melbourne , Victoria",Melbourne Park Function Centre
2003,22 November 2003,"Melbourne , Victoria",Melbourne Park Function Centre
