Name,Location,Council area
Addiewell,Addiewell,West Lothian
Barlinnie,Riddrie,Glasgow
Castle Huntly,Longforgan,Perth and Kinross
Cornton Vale,Stirling,Stirling
Dumfries,Dumfries,Dumfries and Galloway
Edinburgh,Edinburgh,Edinburgh
Glenochil,Tullibody,Clackmannanshire
Grampian,Peterhead,Aberdeenshire
Greenock,Greenock,Inverclyde
Inverness,Inverness,Highland
Kilmarnock,"Hurlford , Kilmarnock",East Ayrshire
Low Moss,Bishopbriggs,East Dunbartonshire
Perth,Perth,Perth and Kinross
Polmont,Falkirk,Falkirk
Shotts,Shotts,North Lanarkshire
