Constituency,Candidate,Votes,%,Position
Bradford South,William Hirst,"8,291",30.9,2
Edmonton,Frank Broad,"3,575",25.7,2
Glasgow Gorbals,John Maclean,"7,436",34.3,2
Glasgow Tradeston,James D. MacDougall,"3,751",19.4,2
Great Yarmouth,William McConnell,"1,845",12.8,3
Greenock,Fred Shaw,"2,542",11.2,3
Grimsby,Charles E. Franklin,"9,015",33.7,2
Hastings,Joseph George Butler,"3,556",24.1,2
Islington North,John Arnall,"4,000",19.3,2
Motherwell,Walton Newbold,"4,135",23.2,3
Portsmouth Central,Hugh Hinshelwood,"4,004",19.1,3
Salford South,James Gorman,"3,807",19.0,2
Sheffield Central,Robert George Murray,643,4.0,3
Sheffield Park,Alf Barton,"3,167",20.4,2
Southampton,Tommy Lewis,"7,828",10.6,4
Walthamstow West,Valentine McEntee,"4,167",29.3,2
