,Code,Team,Nation,Points
1,TMP,T-Mobile Women,GER,1863.33
2,DSB,Team DSB Bank,NED,1538.32
3,RLT,Raleigh Lifeforce Creation HB Pro Cycling Team,SUI,1538.32
4,NUR,Equipe Nürnberger Versicherung,GER,1512.5
5,FLX,Team Flexpoint,NED,1232.98
6,SAF,Safi-Pasta Zara Manhattan,ITA,1150
7,BCT,Bigla Cycling Team,SUI,1140.48
8,MSG,Menikini-Selle Italia - Gysko,ITA,889
9,AAD,AA-Drink Cycling Team,NED,399.98
10,FUT,Vienne Futuroscope,FRA,384
11,LIP,Team Lipton,USA,382
12,COL,Colavita / Sutter Home Presented By Cooking Light,USA,331
13,FRW,A.S . Team F.R.W,ITA,309
14,TGH,Team Getränke-Hoffmann,GER,290.66
15,GPC,Giant Pro Cycling,HKG,285
16,MIC,S.C. Michela Fanini Record Rox,ITA,276
17,VLL,Vlaanderen-Caprisonne-T Interim,BEL,255
18,LBL,Lotto-Belisol Ladiesteam,BEL,254
19,TSW,Team Specialized Designs For Women,SUI,252
20,USC,USC Chirio Forno D'Asolo,ITA,248
