Year,Program,Channel,Role,Language
,Panchami,Sun TV,,Tamil
,Asianet Channel,Asianet,Promo anchor,Malayalam
2000,Dr. Vidya,DD Podhigai,Actress,Tamil
2002,Take It Easy Urvashi,Raj TV,Anchor,Tamil
2003,Bhagyalakshmi,Kairali TV,Anchor,Malayalam
2006-2007,Swarnamazha,Surya TV,Anchor,Malayalam
2007,Thanga Vettai,Sun TV,Anchor,Tamil
2008-2011,Rani Maharani,Surya TV,Anchor,Malayalam
2011,Bhima Jewels Comedy Festival,Mazhavil Manorama,Judge,Malayalam
2012,Mummy & Me,Surya TV,Anchor,Malayalam
2012-2013,Comedy Festival 2,Mazhavil Manorama,Judge,Malayalam
"2013,2019",Comedy Stars,Asianet,Judge,Malayalam
2013-2014,Crazy Couple,Zee Kannada,Anchor,Kannada
2014,Star Challenge,Surya TV,Participant,Malayalam
2014,Back to School,Star Vijay,Participant,Tamil
2015-2017,Jeevitham Sakshi,Kairali TV,Anchor,Malayalam
2015- 2016,Bhairavi Aavigalukku Priyamanaval,Sun TV,Komalla,Tamil
"2016,2018",Comedy Utsavam,Flowers TV,Judge,Malayalam
2017,Komady Circus,Mazhavil Manorama,Judge,Malayalam
2017,Laughing Villa Season 2,Surya TV,Judge,Malayalam
