State,Location,Area,Character
Alaska,Halibut Cove,entire Town,"Originally a fishing village , Halibut Cove , located inside Kachemak Bay State Park , is now home to several art studios/galleries and businesses . One of the world 's only floating towns , it is a popular tourist destination . Only way to get around the cove is by boat . Outside access is by water taxis from Homer , 6 miles away"
Arizona,Arcosanti,entire town,Arcology being built by Paolo Soleri
Arizona,Phantom Ranch,entire village,"Tourist village on the Colorado River inside Grand Canyon National Park ten miles ( plus one vertical mile ) from nearest road with access by foot , raft , or mule"
Arizona,"Supai , Arizona",entire town,"In the Havasupai Nation , the capital of Supai is eight miles from the nearest road . The town has refused all offers to extend the road . Access is by foot , mule , or helicopter . Supai is probably the largest not completely tourism dependent absolutely car-free town in the contiguous USA"
California,Catalina Island,most of Island,"Car free except for gasoline-powered golf carts , Smart Fortwos , Minis , and buses in the town of Avalon"
California,Columbia,Pedestrian mall,Small car-free district at the center
California,Riverside,Downtown Main Street,"Riverside 's Main Street Pedestrian Mall is car free from 10th Street to 6th Street in downtown Riverside , with traffic crossing points at 9th Street , University Ave , and Mission Inn Ave . Notable sites include the historic Mission Inn , the California Museum of Photography , and statues of Martin Luther King , Mahatma Gandhi , and An Chang-ho . Small boutiques , antique stores , and restaurants are mixed with business and government offices , including Riverside 's City Hall and the State 's 11-story California Tower"
California,Sacramento,K Street Mall,"Covers 12 blocks ( 1 mile ) of K Street , including an outdoor shopping mall , a pedestrian freeway underpass to the city 's historic district , shopping , entertainment , and a business and mixed-use residential district"
California,Santa Monica,"Third Street Promenade , 1/2 mile ( 800 m ) of 3rd Street","Car-free shopping district , with further expansion planned"
California,Venice,Venice Canals,"A small portion of a large canal system created by Abbot Kinney to be the Venice of America still exists . A majority of the canals were filled in 1929 to make way for the automobile , though a square roughly 1,000 ft ( 300 m ) still exists on one side"
Colorado,Aspen,Pedestrian malls,"Three blocks of E. Hyman Ave. , S. Mill St. , and E. Cooper Ave. in downtown , adjacent to Wagner Park , have been pedestrianized"
Colorado,Boulder,Pedestrian mall,"At the city center ; there is some debate as to whether this really is a car free area or not . The Pearl Street Mall is absolutely car free , and extends through several blocks of the center of the city"
Colorado,Denver,"16th Street Mall , about a mile ( 1.6 km ) long","Transit mall with pedestrian-only extensions . However , electric buses and police cars drive throughout the area at all times , alongside pedicabs and horse-drawn carriages . It is forbidden to ride ordinary bicycles along the mall except on Sundays , and bicycles parked on the mall are impounded by police after a few hours ' notice"
Colorado,Fort Collins,1 street,Old Town Square commercial district
Colorado,Fort Collins,"Colorado State University , 4 long streets","car free area of university campus , to be expanded"
Colorado,Vail,Most of the town,Resort town with several European-style car-free squares and streets
Florida,Miami Beach,"Lincoln Road Mall , 7 blocks or 0.5 mile ( 800 m )","Shopping , socializing , cafes , dining al fresco in the heart of the Art Deco district"
Florida,St. Augustine,"St. George Street , 4 blocks or 0.4 mile ( 600 m )","Pedestrian only street , historic structure , shopping , dining , attractions ,"
Georgia,Metro Atlanta,"East Lake Commons , 67 dwellings planned","Parking will be located on the perimeter of the village . Access within the village core will be by walking , carts , and bicycles"
Indiana,Indianapolis,Canal Walk,"One-and-a-half mile section of the Indiana Central Canal through downtown Indianapolis . Features sidewalks on either side and is lined by apartments , museums ( with cafes ) , hotels , and the White River State Park . Opportunity to rent kayaks , Segways , bicycles , paddleboats , etc . Completely car-free"
