Club,League,Venue,Established,Premierships
Carlton Football Club,Australian Football League,Marvel Stadium,1864,16
Charlie Schwerkolt Racing,Virgin Australia Supercars Championship,Sandown Raceway,2013,0
Collingwood Football Club,Australian Football League,Melbourne Cricket Ground,1892,15
Collingwood Magpies Netball,Suncorp Super Netball,"Melbourne Arena , Margaret Court Arena",2016,0
Essendon Football Club,Australian Football League,Marvel Stadium,1871,16
Tickford Racing,Virgin Australia Supercars Championship,Winton Motor Raceway,1989,2
Hawthorn Football Club,Australian Football League,Melbourne Cricket Ground,1902,13
Holden Racing Team,Virgin Australia Supercars Championship,Sandown Raceway,1988,6
23Red Racing,Virgin Australia Supercars Championship,Sandown Raceway,2017,0
Matt Stone Racing,Virgin Australia Supercars Championship,Sandown Raceway,2011,0
Melbourne Aces,Australian Baseball League,Melbourne Ballpark,2010,0
Melbourne Football Club,Australian Football League,Melbourne Cricket Ground,1858,12
Melbourne City FC,A-League,AAMI Park,2009,0
Melbourne Rebels,Super Rugby,AAMI Park,2010,0
Melbourne Renegades,KFC Big Bash League Rebel Women 's Big Bash League,Marvel Stadium,2011,0
Melbourne Stars,KFC Big Bash League Rebel Women 's Big Bash League,Melbourne Cricket Ground,2011,0
Melbourne Storm,National Rugby League,AAMI Park,1998,3
Melbourne United,National Basketball League,"Hisense Arena , Margaret Court Arena , State Netball and Hockey Centre",1931,5
Melbourne Victory,A-League,"AAMI Park , Marvel Stadium",2004,4
Melbourne Vixens,Suncorp Super Netball,"Melbourne Arena , Margaret Court Arena",2008,2
