Program,Geographical area,Year created,2018 CYPs,Additional info
Brazil and South America,Latin America,1991,"1,715,073",Program description
China,Asia,1996,"143,350",Program description
Democratic Republic of Congo,Africa,2009,"1,594,054",Program description
"Egypt , Middle East and North Africa",Africa/Asia,2004,"2,500,894",Program description
Ethiopia,Africa,1990,"4,140,024",Program description
Ghana : Anglophone West Africa,Africa,2011,"642,761",Program description
India - Bihar ( Janani ),Asia,1996,"3,040,391",Program description
India - Mumbai,Asia,1992,"5,807,454",Program description
Indonesia,Asia,1996,"9,361,058",Program description
Kenya and Uganda,Africa,2016,"197,992",Program description
"Mexico , Central America and Caribbean",Latin America,2003,"2,126,101",Program description
Mozambique,Africa,2009,"351,719",Program description
Myanmar,Asia,2014,"579,738",Program description
Nigeria,Africa,2012,"3,013,874",Program description
Pakistan,Asia,2012,"2,445,816",Program description
Philippines,Asia,1990,"3,025,672",Program description
Women First Project,Global,2014,794,
Tanzania,Africa,2013,"165,220",Program description
Thailand,Asia,2009,"60,322",Program description
Turkey,Asia,2008,"175,959",Program description
