Elector,Place of birth,Cardinalatial title,Elevated,Elevator,Notes
Konrad von Wittelsbach,Bavaria,Bishop of Sabina and Archbishop of Mainz,"December 18 , 1165",Alexander III,Dean of the Sacred College of Cardinals ; external cardinal
"Henri de Marsiac , O.Cist","Château de Marcy , France",Bishop of Albano,March 1179,Aleksander III,Papal legate in Germany
Giovanni Conti da Anagni,Anagni,Priest of S. Marco,1158/1159,Adrian IV,Protopriest ; future bishop of Palestrina ( 1190-1196 )
Ruggiero di San Severino,San Severino,Priest of S. Eusebio and Archbishop of Benevento,Ca . 1178-1180,Alexander III,External cardinal
Guillaume aux Blanches Mains,France,Priest of S. Sabina and Archbishop of Reims,March 1179,Alexander III,Minister of State of the Kingdom of France ; external cardinal
"Albino , C.R.S.F",Gaeta ( ? ),Priest of S. Croce in Gerusalemme,"December 18 , 1182",Lucius III,Future bishop of Albano ( 1189-1197 )
Pandolfo,Lucca,Priest of SS . XII Apostoli,"December 18 , 1182",Lucius III,
Adelardo Cattaneo,Verona,Priest of S. Marcello,"March 16 , 1185",Lucius III,Future bishop of Verona ( 1188-1214 )
Soffredo,Pistoia,Deacon of S. Maria in Via Lata,"December 18 , 1182",Lucius III,Papal legate in France
Bobo,Rome,Deacon of S. Angelo in Pescheria,"December 18 , 1182",Lucius III,Papal legate in France ; future bishop of Porto e Santa Rufina ( 1189-1190 )
Gerardo,Lucca,Deacon of S. Adriano,"December 18 , 1182",Lucius III,Papal Vicar ; Cardinal-nephew ( ? ) of Lucius III
