Name,POS,Moving from,Mode,Window,Fee
An Jae-Jun,DF,Chunnam Dragons,Transfer,Winter,Cash + Trade
Han Jae-Woong,FW,Chunnam Dragons,Transfer,Winter,Cash + Trade
Diogo,FW,São Bernardo,Transfer,Winter,
Jo Su-Huk,GK,FC Seoul,Transfer,Winter,
Kim Chang-Hoon,DF,Daejeon Citizen,Transfer,Winter,Trade
Thiago,FW,Ferroviária,Transfer,Winter,
Francis,MF,Penapolense,Transfer,Winter,
Kang Yong,DF,Daegu,Contract ended,Winter,Free
Kim Kyo-Bin,GK,Daegu,Contract ended,Winter,Free
Lee Chun-Soo,FW,Unattached,Free agent,Winter,Free
Park Jisu,DF,Youth team,Promotion,Winter,Free
Yoon Pyung-Guk,GK,Incheon University,Draft,Winter,Free
Cho Kyum-Son,DF,Incheon University,Draft,Winter,Free
Jeon Hyung-Seop,DF,Sungkyunkwan University,Draft,Winter,Free
Kang Young-Yeon,DF,Soongsil University,Draft,Winter,Free
Kim Kyung-Min,DF,Yonsei University,Draft,Winter,Free
Lee Dae-Myung,MF,Hongik University,Draft,Winter,Free
Lee Seok-Hyun,MF,Sunmoon University,Draft,Winter,Free
