Date,Tournament,Location,Prize fund ( ¥ ),Winner,OWGR pts
15 Apr,Token Homemate Cup,Mie,"130,000,000",Brendan Jones ( 11 ),18
22,Tsuruya Open,Hyōgo,"110,000,000",Hiroyuki Fujita ( 12 ),18
29 Apr,The Crowns,Aichi,"120,000,000",Jang Ik-jae ( 2 ),16
13 May,Japan PGA Championship Nissin Cupnoodle Cup,Tochigi,"150,000,000",Toru Taniguchi ( 18 ),16
20 May,Totoumi Hamamatsu Open,Shizuoka,"100,000,000",Jay Choi ( 1 ),18
27 May,Diamond Cup Golf,Chiba,"120,000,000",Hiroyuki Fujita ( 13 ),16
3 Jun,Japan Golf Tour Championship Citibank Cup Shishido Hills,Ibaraki,"150,000,000",Yoshinori Fujimoto ( 1 ),16
24 Jun,Gateway to the Open Mizuno Open,Okayama,"110,000,000",Brad Kennedy ( 1 ),16
8 Jul,Nagashima Shigeo Invitational Sega Sammy Cup,Hokkaidō,"150,000,000",Lee Kyoung-hoon ( 1 ),16
29 Jul,Sun Chlorella Classic,Hokkaidō,"150,000,000",Brendan Jones ( 12 ),16
19 Aug,Kansai Open Golf Championship,Osaka,"60,000,000",Toshinori Muto ( 5 ),16
26 Aug,Vana H Cup KBC Augusta,Fukuoka,"110,000,000",Kim Hyung-sung ( 1 ),16
2 Sep,Fujisankei Classic,Yamanashi,"110,000,000",Kim Kyung-tae ( 5 ),16
9 Sep,Toshin Golf Tournament in Ryosen,Mie,"80,000,000",Wu Ashun ( 1 ),16
16 Sep,ANA Open,Hokkaidō,"110,000,000",Hiroyuki Fujita ( 14 ),16
23 Sep,Asia-Pacific Panasonic Open,Hyōgo,"150,000,000",Masanori Kobayashi ( 2 ),20
30 Sep,Coca-Cola Tokai Classic,Aichi,"120,000,000",Ryu Hyun-woo ( 1 ),16
7 Oct,Canon Open,Kanagawa,"150,000,000",Yuta Ikeda ( 10 ),16
14 Oct,Japan Open Golf Championship,Okinawa,"200,000,000",Kenichi Kuboya ( 6 ),32
21 Oct,Bridgestone Open,Chiba,"150,000,000",Toru Taniguchi ( 19 ),16
