Date,Ship,Country,Builder,Location,Class / type
1 February,Daniel G. Reid,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
2 February,Cornelius Vanderbilt,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
2 February,Morris Sigman,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
2 February,William D. Byron,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
2 February,Pittsburgh,United States,Bethlehem Steel Company,"Quincy , Massachusetts",Baltimore -class cruiser
3 February,Frank Gilbreth,United States,Walsh-Kaiser Company,"Providence , Rhode Island",Liberty ship
3 February,Greece Victory,United States,California Shipbuilding Corporation,Los Angeles,Victory ship
3 February,Morris Sheppard,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
4 February,Britain Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
4 February,Sherman O. Houghton,United States,California Shipbuilding Corporation,Los Angeles,Liberty ship
4 February,Shamrock Bay,United States,Kaiser Shipyards,"Vancouver , Washington",Casablanca -class escort carrier
5 February,James Devereux,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
5 February,John H. Thomas,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
5 February,Samhorn,United States,Southeastern Shipbuilding Corporation,"Savannah , Georgia",Liberty ship
5 February,Samstrule,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
6 February,Atlanta,United States,New York Shipbuilding Corporation,"Camden , New Jersey",Cleveland -class cruiser
7 February,Benjamin H. Hill,United States,J . A. Jones Construction Company,"Brunswick , Georgia",Liberty ship
7 February,Samlyth,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
7 February,Ticonderoga,United States,Newport News Shipbuilding,"Newport News , Virginia",Essex -class aircraft carrier
8 February,Andrew Turnbull,United States,St. Johns River Shipbuilding Company,"Jacksonville , Florida",Liberty ship
