Name,Suburb,LGA,Category,Opened,Website
Agnew School,Bundaberg,Bundaberg,Exclusive Brethren,2003,Website
Agnew School,Maryborough,Fraser Coast,Exclusive Brethren,2003,Website
Bundaberg Christian College,Windermere,Bundaberg,Ind . Christian,1996,Website
Burnett Youth Learning Centre,Elliott,Bundaberg,Special,2006,Website
Cooloola Christian College,Southside,Gympie,Ind . Christian,1992,Website
Coral Coast Christian School,Bundaberg North,Bundaberg,7DA,1983,Website
Fraser Coast Anglican College,Wondunna,Fraser Coast,Anglican,1995,Website
Glendyne Education & Training Centre,Nikenbah,Fraser Coast,Baptist,2002,Website
Hervey Bay Christian Academy,Urraween,Fraser Coast,Ind . Christian,1993,Website
Riverside Christian College,Maryborough West,Fraser Coast,Ind . Christian,1968,Website
St James Lutheran College,Urraween,Fraser Coast,Lutheran,2003,Website
St John 's Lutheran Primary School,Bundaberg South,Bundaberg,Lutheran,1978,Website
St John 's Lutheran School,Kingaroy,South Burnett,Lutheran,1989,Website
St. Luke 's Anglican School,Kalkie,Bundaberg,Anglican,1994,Website
Victory College,Gympie,Gympie,Pentecostal,1980,Website
