Designer,Age,Hometown,Place of Residence,Place Finished
Christiane King,30,"Abidjan , Côte d'Ivoire","Los Angeles , California",16th
Pamela Ptak,47,"Pittsfield , Massachusetts","Riegelsville , Pennsylvania",15th
Ping Wu,34,"Chengdu , China","Chicago , Illinois",14th
Jesus Estrada,21,"Mazatlán , Sinaloa","San Diego , California",13th
Anna Lynett,23,"Whitefish Bay , Wisconsin","Los Angeles , California",12th
Janeane Marie Ceccanti,27,"Willows , California","Portland , Oregon",11th
Jesse LeNoir,25,"Painesville , Ohio","Orlando , Florida",10th
Ben Chmura,30,"Meriden , Connecticut","Tampa , Florida",9th
Amy Sarabi,25,"Plano , Texas","Oakland , California",8th
Maya Luz,21,"Santa Fe , New Mexico","New York , New York",7th ( Quit )
Jonathan Peters,29,"Woonsocket , Rhode Island","Providence , Rhode Island",6th
Anthony Williams *,28,"Birmingham , Alabama","Atlanta , Georgia",5th
Jay Nicolas Sario,31,"Manila , Philippines","San Francisco , California",4th
Mila Hermanovski,40,"Dallas , Texas","Los Angeles , California",Second Runner-up
Emilio Sosa,43,"Santo Domingo , Dominican Republic","New York , New York",Runner-up
Seth Aaron Henderson,38,"San Diego , California","Vancouver , Washington",Winner
