Year,Winner,Runners-up
2000,Njoro Boys,Upper Hill School
2001,Lenana School II,Dagoretti High School
2002,Dagoretti High School,Aga Khan Academy
2003,St. Mary 's School II,N/A
2004,Strathmore School,Hillcrest Secondary School
2005,Njoro Boys,Makongeni
2006,Upper Hill School I,Upper Hill School II
2007,Nairobi School II,Ofafa Jericho High School
2008,Makongeni,Lenana School II
2009,Rosslyn Academy,Muhuri Muchiri Secondary School
2010,St. Christopher 's School,Upper Hill School II
2011,Jamhuri High School,Alliance Boys ' High School
2012,Sunshine Secondary School,Moi Forces Academy
