Title,Publisher,Release Date,CERO
Balloon Fight,Nintendo,"April 27 , 2013",A
Downtown Nekketsu Kōshinkyoku : Soreyuke Daiundōkai,Arc System Works,"April 27 , 2013",A
Excitebike,Nintendo,"April 27 , 2013",A
Hoshi no Kirby : Yume no Izumi no Monogatari,Nintendo,"April 27 , 2013",A
Ice Climber,Nintendo,"April 27 , 2013",A
Spelunker,Tozai Games,"April 27 , 2013",A
Xevious,Bandai Namco Entertainment,"April 27 , 2013",A
Rockman 3 : Dr. Wily no Saigo ! ?,Capcom,"May 1 , 2013",A
Solomon no Kagi,Koei Tecmo,"May 1 , 2013",A
Mappy,Bandai Namco Entertainment,"May 15 , 2013",A
Pac-Man,Bandai Namco Entertainment,"May 15 , 2013",A
Ikki,Sunsoft,"May 22 , 2013",A
Mario Bros,Nintendo,"May 29 , 2013",A
Punch-Out ! !,Nintendo,"June 5 , 2013",A
Super Mario Bros,Nintendo,"June 5 , 2013",A
Rockman,Capcom,"June 12 , 2013",A
Rockman 2 : Dr. Wily no Nazo,Capcom,"June 12 , 2013",A
Rockman 4 : Arata Naru Yabō ! !,Capcom,"June 12 , 2013",A
Yoshi no Tamago,Nintendo,"June 12 , 2013",A
Ninja JaJaMaru-kun,Hamster,"June 19 , 2013",A
