Position,Player,To club,Fee
GK,Farizal Marlias,Selangor,align=right| 0
ST,Abdul Hadi Yahya,Selangor,align=right| 0
Manager,Mohd Azraai Khor Abdullah,T-Team,align=right| 0
DC,Rafael Souza Silva Novais,PDRM,align=right| 0
ST,Paulo Rangel,Selangor,align=right| 0
ML,Muhd Rafiuddin Rodin,Penang,align=right| 0
GK,Khairul Amri Salehuddin,Penang,align=right| 0
DR,V. Thirumurugan,PDRM,align=right| 0
DRC,Shahrom Kalam,Selangor,align=right| 0
AMR,Yong Kuong Yong,Penang,align=right| 0
AMRL,S. Chanturu,Sarawak,align=right| 0
MC,Shahrulnizam Mustapa,Felda,align=right| 0
