Year,Winner,Country
1991,Sun Caiyan,China
1992,Peng Liping,China
1993,Chen Shu-chih,Chinese Taipei
1994,Guan Hong,China
1995,Chen Shu-chih,Chinese Taipei
1996,Li Hongyun,China
1997,Tang Weifang,China
1998,Tang Weifang,China
1999,Ding Meiyuan,China
2000,Ding Meiyuan,China
2001,Valentina Popova,Russia
2002,Wang Mingjuan,China
2003,Liu Chunhong,China
2004,Liu Chunhong,China
2005,Pawina Thongsuk,Thailand
2006,Chen Yanqing,China
2007,Jang Mi-ran,South Korea
2008,Liu Chunhong,China
2009,Jang Mi-ran,South Korea
2010,Svetlana Podobedova,Kazakhstan
