Date,Sport,Venue/Event,Status,Winner/s
26 Dec. 2013-5,Ice hockey,2014 World Junior Ice Hockey Championships,International,Finland MVP : Filip Forsberg
28 Dec. 2013-5,Cross-country skiing,/ / 2013-14 Tour de Ski,International,Men : Martin Sundby Women : Therese Johaug
29 Dec. 2013-6,Ski jumping,/ 2013-14 Four Hills Tournament,International,Thomas Diethart
1,Ice hockey,2014 NHL Winter Classic,Domestic,Toronto Maple Leafs
3-8 November,Motorsport,2014 European Rally Championship season,Continental,ERC Driver 's overall winner : Esapekka Lappi ERC Co-driver 's overall winner : Janne Ferm 2WD Driver 's overall winner : Zoltán Bessenyey 2WD Co-driver 's overall winner : Yulianna Nyirfàs Production Cup Driver 's overall winner : Vitaliy Pushkar Production Cup Co-driver 's overall winner : Ivan Mishyn ERC 's Junior driver overall winner : Stéphane Lefebvre Ladies ' trophy winner : Ekaterina Stratieva Ice Masters winner : Robert Kubica Gravel Masters winner : Kajetan Kajetanowicz Asphalt Masters winner : Esapekka Lappi
4-12,Darts,2014 BDO World Darts Championship,International,Men : Stephen Bunting Women : Lisa Ashton
5-18,Rally,/ / 2014 Dakar Rally,International,Bikes : Marc Coma ( KTM ) Quads : Ignacio Casale ( Yamaha ) Cars : Nani Roma / Michel Périn ( Mini ) Trucks : Andrey Karginov / Andrey Mokeev / Igor Devyatkin ( Kamaz )
6,American football,2014 BCS National Championship Game,Domestic,Florida State MVPs : Jameis Winston and P. J. Williams ( both from Florida State )
10-18,Field hockey,2012-13 Men 's FIH Hockey World League Final,International,Netherlands
11-17,Ice hockey,2014 World Junior Ice Hockey Championships Division II - Group B,International,South Korea is promoted to Division II - Group A China is relegated to Division III
12-18,Ice hockey,2014 World Junior Ice Hockey Championships Division III,International,Belgium is promoted to Division II - Group B
12-19,Snooker,2014 Masters,International,Ronnie O'Sullivan
12-26,Handball,2014 European Men 's Handball Championship,Continental,France
13-19,Figure skating,2014 European Figure Skating Championships,Continental,Men : Javier Fernández Ladies : Yulia Lipnitskaya Pairs : Tatiana Volosozhar / Maxim Trankov Ice dancing : Anna Cappellini / Luca Lanotte
13-26,Tennis,2014 Australian Open,International,Men : Stanislas Wawrinka Women : Li Na
16-18,Motorsport,82ème Rallye Automobile de Monte-Carlo,International,Sébastien Ogier ( Volkswagen ) Julien Ingrassia
16-25,Handball,2014 African Men 's Handball Championship,Continental,Algeria
16-25,Handball,2014 African Women 's Handball Championship,Continental,Tunisia
17-24,Squash,Tournament of Champions 2014,International,Men : Amr Shabana Women : Nicol David
18-29,Multi-sport,2014 Lusophony Games,International,India
