Team,President,Head coach,Captain,Kit manufacturer,Shirt sponsor
Arsenal Kyiv,Ivica Pirić,Ihor Leonov,Serhiy Vakulenko,Zeus,"Favorit Sport , Vegeta"
Chornomorets Odesa,Leonid Klimov,Angel Chervenkov,Serhiy Litovchenko,Legea,Gefest
Desna Chernihiv,Volodymyr Levin,Oleksandr Ryabokon,Denys Favorov,Nike,Favorit Sport
Dynamo Kyiv,Ihor Surkis,Alyaksandr Khatskevich,Serhiy Sydorchuk,New Balance,UEFA No to racism
Karpaty Lviv,Petro Dyminskyi,Oleksandr Chyzhevskyi ( interim ),Artem Fedetskyi,Joma,"Marathonbet , ZIK"
FC Lviv,Bohdan Kopytko,Bohdan Blavatskyi,Oleksandr Bandura,Legea,Glusco
FC Mariupol,Tarik Makhmud Chaudri,Oleksandr Babych,Rustam Khudzhamov,Nike,Favorit Sport
FC Oleksandriya,Serhiy Kuzmenko,Volodymyr Sharan,Andriy Zaporozhan,Nike,UkrAhroKom
Olimpik Donetsk,Vladyslav Helzin,Ihor Klymovskyi ( interim ),Dmytro Hryshko,Joma,Pari-Match
Shakhtar Donetsk,Rinat Akhmetov,Paulo Fonseca,Taison,Nike,SCM
Vorskla Poltava,Roman Cherniak,Vitaliy Kosovskyi ( interim ),Volodymyr Chesnakov,adidas,Ferrexpo
Zorya Luhansk,Yevhen Heller,Yuriy Vernydub,Mykyta Kamenyuka,Nike,Favorit Sport
