Code,Subdivision name,Subdivision category,In region ( since 2016 ),In metropolitan region ( before 2016 )
FR-01,Ain,metropolitan department,ARA,V
FR-02,Aisne,metropolitan department,HDF,S
FR-03,Allier,metropolitan department,ARA,C
FR-04,Alpes-de-Haute-Provence,metropolitan department,PAC,U
FR-06,Alpes-Maritimes,metropolitan department,PAC,U
FR-07,Ardèche,metropolitan department,ARA,V
FR-08,Ardennes,metropolitan department,GES,G
FR-09,Ariège,metropolitan department,OCC,N
FR-10,Aube,metropolitan department,GES,G
FR-11,Aude,metropolitan department,OCC,K
FR-12,Aveyron,metropolitan department,OCC,N
FR-67,Bas-Rhin,metropolitan department,GES,A
FR-13,Bouches-du-Rhône,metropolitan department,PAC,U
FR-14,Calvados,metropolitan department,NOR,P
FR-15,Cantal,metropolitan department,ARA,C
FR-16,Charente,metropolitan department,NAQ,T
FR-17,Charente-Maritime,metropolitan department,NAQ,T
FR-18,Cher,metropolitan department,CVL,F
FR-19,Corrèze,metropolitan department,NAQ,L
FR-2A,Corse-du-Sud,metropolitan department,COR,H
