Site,Municipality,Type,Ref
* Ōzuka Kofun 王塚古墳 Ōzuka kofun,Keisen,1,2631
* Mizuki Site 水城跡 Mizuki ato,"Dazaifu , Ōnojō , Kasuga",2,2598
* Dazaifu Site 大宰府跡 Dazaifu ato,Dazaifu,2,2599
* Ōnojō Site 大野城跡 Ōno-jō ato,"Dazaifu , Ōnojō , Umi","2 , 3",2622
* Kii Castle Site 基肄 ( 椽 ) 城 跡 Kii-jō ato,Chikushino,2,3085
Ashikisan Castle Site 阿志岐山城跡 Ashikisan-jō ato,Chikushino,2,00003719
Ayazuka Kofun 綾塚古墳 Ayazuka kofun,Miyako,1,2665
Ankokuji Burial Jar Cluster 安国寺 甕棺墓 群 Ankokuji kamekan bogun,Kurume,1,2684
Urayama Kofun 浦山古墳 Urayama kofun,Kurume,1,2641
Yakata Kofun Cluster 屋形古墳群 Yakata kofun-gun,Ukiha,1,2643
Shimotakahashi Government Office Site 下高橋官衙遺跡 Shimotakahashi kanga iseki,Tachiarai,2,3225
Shimobaba Kofun 下馬場古墳 Shimobaba kofun,Kurume,1,2638
Kamatsuka Kofun 釜塚古墳 Kamatsuka kofun,Itoshima,1,2685
Kanzeon-ji Precinct 観世音寺境内及び子院跡附老司瓦窯跡 Kanzeonji keidai oyobi shiin ato tsuketari Rōji kawara gama ato,Dazaifu,3,2660
Yoshitaketakagi Site 吉武高木遺跡 Yoshitaketakagi iseki,Fukuoka,1,2690
Tachibanazuka Kofun 橘塚古墳 Tachibanazuka kofun,Miyako,1,2658
Mount Kubote 求菩提山 Kubote-san,"Buzen , Chikujō",3,3306
Ushikubi Sue Ware Kiln Site 牛頸須恵器窯跡 Ushikubi Sue-ki kama ato,Ōnojō,6,00003624
Kanenokuma Site 金隈遺跡 Kanenokuma iseki,Fukuoka,1,2663
Anagahayama Kofun 穴ヶ葉山古墳 Anagahayama kofun,Kōge,1,2633
