Year,Distance,Athlete,Location
1968,62.54 m ( 205 ft 2 in ),Liesel Westermann ( FRG ),Werdohl
1969,63.96 m ( 209 ft 10 in ),Liesel Westermann ( FRG ),Hamburg
1970,63.66 m ( 208 ft 10 ⁄ 4 in ),Karin Illgen ( GDR ),Leipzig
1971,64.88 m ( 212 ft 10 ⁄ 4 in ),Faina Melnik ( URS ),Munich
1972,67.32 m ( 220 ft 10 ⁄ 4 in ),Argentina Menis ( ROM ),Constanta
1973,69.48 m ( 227 ft 11 ⁄ 4 in ),Faina Melnik ( URS ),Edinburgh
1974,69.90 m ( 229 ft 3 ⁄ 4 in ),Faina Melnik ( URS ),Prague
1975,70.20 m ( 230 ft 3 ⁄ 4 in ),Faina Melnik ( URS ),Zürich
1976,70.50 m ( 231 ft 3 ⁄ 2 in ),Faina Melnik ( URS ),Sochi
1977,68.92 m ( 226 ft 1 ⁄ 4 in ),Sabine Engel ( GDR ),Karl-Marx-Stadt
1978,70.72 m ( 232 ft ⁄ 4 in ),Evelin Jahl ( GDR ),Dresden
1979,69.82 m ( 229 ft ⁄ 4 in ),Evelin Jahl ( GDR ),Leipzig
1980,71.80 m ( 235 ft 6 ⁄ 4 in ),Maria Petkova ( BUL ),Sofia
1981,71.46 m ( 234 ft 5 ⁄ 4 in ),Evelin Jahl ( GDR ),Berlin
1982,71.40 m ( 234 ft 3 in ),Irina Meszynski ( GDR ),Karl-Marx-Stadt
1983,73.26 m ( 240 ft 4 ⁄ 4 in ),Galina Savinkova ( URS ),Leselidze
1984,74.56 m ( 244 ft 7 ⁄ 4 in ),Zdeňka Šilhavá ( TCH ),Nitra
1985,72.96 m ( 239 ft 4 ⁄ 4 in ),Galina Savinkova ( URS ),Erfurt
1986,73.26 m ( 240 ft 4 ⁄ 4 in ),Diana Gansky ( GDR ),Neubrandenburg
1987,74.08 m ( 243 ft ⁄ 2 in ),Diana Gansky ( GDR ),Karl-Marx-Stadt
