Round ( Pick ),Name,Position,School
1 ( 2 ),Dustin Ackley,Center fielder,University of North Carolina
1 ( 27 ),Nick Franklin,Shortstop,Lake Brantley High School
1 ( 33 ),Steven Baron,Catcher,John A. Ferguson High School
2 ( 51 ),Rich Poythress,First baseman,University of Georgia
3 ( 82 ),Kyle Seager,Second baseman,University of North Carolina
4 ( 113 ),James Jones,Left fielder,Long Island University
5 ( 143 ),Tyler Blandford,Right-handed pitcher,Oklahoma State University
6 ( 173 ),Shaver Hansen,Third baseman,Baylor University
7 ( 203 ),Brian Moran,Left-handed pitcher,University of North Carolina
8 ( 233 ),James Gillheeney,Left-handed pitcher,North Carolina State University
9 ( 263 ),Trevor Coleman,Catcher,University of Missouri
10 ( 293 ),Vincent Catricala,Third basemen,University of Hawaii
11 ( 323 ),Timothy Morris,First baseman,St. John 's University
12 ( 353 ),Andrew Carraway,Right-handed pitcher,University of Virginia
13 ( 383 ),Matthew Cerione,Center fielder,University of Georgia
14 ( 413 ),Adam Nelubowich,Third baseman,Vauxhall High School
15 ( 443 ),Blake Keitzman,Left-handed pitcher,Western Oregon University
16 ( 473 ),Tillman Pugh,Center fielder,Gateway Community College
17 ( 503 ),Joseph Terry,Second baseman,Cerritos College
18 ( 533 ),Anthony Vasquez,Left-handed pitcher,University of Southern California
