Location,Restaurant,Chef ( s ),Awarded since
Chicago,Alinea,Grant Achatz and Simon Davies,2011
Healdsburg,SingleThread,Kyle Connaughton,2019
Los Gatos,Manresa,David Kinch and Nicholas Romero,2016
New York City,Le Bernardin,"Éric Ripert , Chris Muller , and Eric Gestel",2006
New York City,Per Se,Thomas Keller and Corey Chow,2006
New York City,Masa,Masa Takayama,2009
New York City,Eleven Madison Park,Daniel Humm and Brian Lockwood,2012
New York City,Chef 's Table at Brooklyn Fare,César Ramírez,2012
San Francisco,Atelier Crenn,Dominique Crenn,2019
San Francisco,Benu,Corey Lee and Brandon Rodgers,2015
San Francisco,Quince,Michael Tusk and Neil Stetz,2017
St. Helena,The Restaurant at Meadowood,Christopher Kostow and John Hong,2011
Washington,The Inn at Little Washington,Patrick OConnell,2019
Yountville,The French Laundry,Thomas Keller and David Breeden,2007
