Medal,Name,Sport,Event,Date
Gold,Shen Xue / Zhao Hongbo,Figure skating,Pair skating,Feb 15
Gold,Wang Meng,Short track speed skating,Women 's 500 metres,Feb 17
Gold,Zhou Yang,Short track speed skating,Women 's 1500 metres,Feb 20
Gold,Sun Linlin / Wang Meng / Zhang Hui / Zhou Yang,Short track speed skating,Women 's 3000 metre relay,Feb 24
Gold,Wang Meng,Short track speed skating,Women 's 1000 metres,Feb 26
Silver,Pang Qing / Tong Jian,Figure skating,Pair skating,Feb 15
Silver,Li Nina,Freestyle skiing,Women 's aerials,Feb 24
Bronze,Wang Beixing,Speed skating,Women 's 500 metres,Feb 16
Bronze,Guo Xinxin,Freestyle skiing,Women 's aerials,Feb 24
Bronze,Liu Zhongqing,Freestyle skiing,Men 's aerials,Feb 25
Bronze,Wang Bingyu / Liu Yin / Yue Qingshuang / Zhou Yan / Liu Jinli,Curling,Women 's,Feb 26
