Name,Family,Language,Region,Country,Population ( million )
Baggara,"Afro-Asiatic , Semitic",Sudanese Arabic,Chad Basin,"Sudan , Chad",6
Berbers,"Afro-Asiatic , Berber",Berber,Maghreb,"Morocco , Algeria , Libya , Mauritania , Tunisia , Egypt",27
Copts,"Afro-Asiatic , Egyptian",Coptic,Nile Valley,"Egypt , Sudan",10
Egyptians,"Afro-Asiatic , Semitic",Egyptian Arabic,Nile Valley,Egypt,85
Fur,"Nilo-Saharan , Eastern Sudanic",Fur,Nile Valley,Sudan,1.0
Haratin,"Afro-Asiatic , Semitic",Hassaniya Arabic,Maghreb,"Mauritania , Morocco",2
Maghrebis,"Afro-Asiatic , Semitic",Maghrebi Arabic,Maghreb,"Morocco , Algeria , Tunisia , Libya",72
Moors,"Afro-Asiatic , Semitic",Hassaniya Arabic,Maghreb,"Mauritania , Morocco",2
Nubians,"Nilo-Saharan , Eastern Sudanic",Nobiin,Nile Valley,"Sudan , Egypt",1.0
Sudanese Arabs,"Afro-Asiatic , Semitic",Sudanese Arabic,Nile Valley,Sudan,28
Toubou,Nilo-Saharan,Tebu,Tibesti,"Libya , Chad , Niger , Sudan",0.35
Tuareg,"Afro-Asiatic , Berber",Tuareg,Maghreb/Sahara,"Algeria , Libya , Morocco , Tunisia , Mali , Niger , Burkina Faso",1.2
Zaghawa,"Nilo-Saharan , Eastern Saharan",Zaghawa,Chad Basin,"Chad , Sudan",0.2
