Club,Location,Stadium,Capacity,Manager,Kitmaker
AC Oulu,Oulu,Castrén,"4,000",Juha Malinen,Umbro
FC Honka,Espoo,Tapiolan Urheilupuisto,"6,000",Mika Lehkosuo,Kappa
FC Inter,Turku,Veritas Stadion,"9,372",Job Dragtsma,Nike
FC Lahti,Lahti,Lahden Stadion,"15,000",Ilkka Mäkelä,Umbro
FF Jaro,Jakobstad,Jakobstads Centralplan,"5,000",/ Alexei Eremenko Sr,Errea
Haka,Valkeakoski,Tehtaan kenttä,"3,516",Sami Ristilä,Umbro
HJK,Helsinki,Sonera Stadium,"10,770",Antti Muurinen,Adidas
IFK Mariehamn,Mariehamn,Wiklöf Holding Arena,"4,000",Pekka Lyyski,Puma
JJK,Jyväskylä,Harjun stadion,"3,000",Kari Martonen,Legea
KuPS,Kuopio,Kuopion keskuskenttä,"5,000",Esa Pekonen,Puma
MYPA,Anjalankoski,Saviniemi,"4,167",Janne Lindberg,Puma
Tampere United,Tampere,Ratina Stadion,"17,000",Ari Hjelm,Puma
TPS,Turku,Veritas Stadion,"9,372",Marko Rajamäki,Puma
VPS,Vaasa,Hietalahti Stadium,"4,600",Tommi Pikkarainen,Umbro
