Name,Swedish name,Location,Date,Condition
Almnäs Castle,Almnäs slott,Västergötland,1776,Private residence
Alnarp Castle,Alnarp slott,Scania,1862,Private residence
Alsnö Castle,Alsnö hus,Uppland,c. 1200,Ruin
Bäckaskog Castle,Bäckaskogs slott,Scania,13th century,Museum
Barsebäck Castle,Barsebäcks slott,Scania,14th century,Private residence
Bellinga Castle,Bellinga slott,Scania,16th century,Private residence
Bergkvara Castle,Bergkvara slott,Småland,15th century,Ruin
Bjärka-Säby Castle,Nya slottet Bjärka-Säby,Östergötland,1791,Museum
Bjärsjöholm Castle,Bjärsjöholms slott,Scania,14th century,Private residence
Bjärsjölagård Castle,Bjärsjölagårds slott,Scania,1766,Hotel
Björksund Castle,Björksunds slott,Södermanland,18th century,Private residence
Björnstorp Castle,Björnstorps slott,Scania,1752,Private residence
Blekhem,Blekhem,Småland,1838,Private residence
Bollerup,Bollerups borg,Scania,15th century,School
Boo Castle,Boo slott,Närke,1882,Private residence
Bogesund Castle,Bogesunds slott,Uppland,16th century,Museum
Bohus Fortress,Bohus fästning,Bohuslän,1308,Ruin
Borgeby Castle,Borgeby slott,Scania,15th century,Museum
Borgholm Castle,Borgholms slott,Öland,13th century,Ruin
Börringe Priory,Börringeklosters slott,Scania,13th century,Private residence
