Season,Location,Winner,Runner-up,Third
1976,Champaign,Alan Rattray,Gaetan Boucher,Andre Chabrerie
1977,Grenoble,Gaetan Boucher,Craig Kressler,Hiroshi Toda
1978,Solihull,James Lynch,Harry Spragg,Alan Rattray
1979,Québec,Hiroshi Toda,Louis Baril,Nick Thometz
1980,Milan,Gaetan Boucher ( 2 ),Louis Gernier,Marc Bella
1981,Meudon,Benoit Baril,Gaetan Boucher,Michael Richmond
1982,Moncton,Guy Daignault,Gaetan Boucher,Louis Gernier
1983,Tokyo,Louis Gernier,Michel Delisle,Guy Daignault
1984,Peterborough,Guy Daignault ( 2 ),Tatsuyoshi Ishihara,Michel Daignault
1985,Amsterdam,Toshinobu Kawai,Tatsuyoshi Ishihara,Louis Gernier
1986,Chamonix,Tatsuyoshi Ishihara,Guy Daignault,Robert Dubreuil
1987,Montréal,Michel Daignault Toshinobu Kawai ( 2 ),none awarded,Charles Veldhoven
1988,St. Louis,Peter van der Velde,Richard Suyten,Tatsuyoshi Ishihara
1989,Solihull,Michel Daignault ( 2 ),Kim Ki-Hoon,Mark Lackie
1990,Amsterdam,Lee Joon-Ho,Yuichi Akasaka Wilf O'Reilly,none awarded
1991,Sydney,Wilf O'Reilly,Kim Ki-Hoon,Lee Joon-Ho
1992,Denver,Kim Ki-Hoon,Mo Ji-Soo,Lee Joon-Ho
1993,Beijing,Marc Gagnon,Sylvain Gagnon,Chae Ji-Hoon Kim Ki-Hoon
1994,Guildford,Marc Gagnon,Chae Ji-Hoon Frederic Blackburn,none awarded
1995,Gjøvik,Chae Ji-Hoon,Marc Gagnon,Song Jae-Kun
