Rnd,Race,Circuit,Date,Pole position,Fastest lap,Winning driver,Constructor,Tyre,Report
1,South African Grand Prix,Kyalami,1 March,Jack Brabham,Jackie Stewart,Jackie Stewart,Matra - Ford,D,Report
2,Spanish Grand Prix,Montjuïc,4 May,Jochen Rindt,Jochen Rindt,Jackie Stewart,Matra - Ford,D,Report
3,Monaco Grand Prix,Monaco,18 May,Jackie Stewart,Jackie Stewart,Graham Hill,Lotus - Ford,F,Report
4,Dutch Grand Prix,Zandvoort,21 June,Jochen Rindt,Jackie Stewart,Jackie Stewart,Matra - Ford,D,Report
5,French Grand Prix,Charade,6 July,Jackie Stewart,Jackie Stewart,Jackie Stewart,Matra - Ford,D,Report
6,British Grand Prix,Silverstone,19 July,Jochen Rindt,Jackie Stewart,Jackie Stewart,Matra - Ford,D,Report
7,German Grand Prix,Nürburgring,3 August,Jacky Ickx,Jacky Ickx,Jacky Ickx,Brabham - Ford,G,Report
8,Italian Grand Prix,Monza,7 September,Jochen Rindt,Jean-Pierre Beltoise,Jackie Stewart,Matra - Ford,D,Report
9,Canadian Grand Prix,Mosport Park,20 September,Jacky Ickx,Jacky Ickx Jack Brabham,Jacky Ickx,Brabham - Ford,G,Report
10,United States Grand Prix,Watkins Glen,5 October,Jochen Rindt,Jochen Rindt,Jochen Rindt,Lotus - Ford,F,Report
11,Mexican Grand Prix,Magdalena Mixhuca,19 October,Jack Brabham,Jacky Ickx,Denny Hulme,McLaren - Ford,G,Report
