Call letters,Channel,Network ( s ),City and state,Meaning or notes
KSAN-TV,16 PSIP/cable 3,NBC,"San Angelo , Texas",SAN Angelo
KSAS-TV,26 PSIP 24,Fox,"Wichita , Kansas",
KSAT-TV,12 PSIP 12,12.1 ABC 12.2 MeTV,"San Antonio , Texas","S an A ntonio , T exas"
KSAX,24 PSIP 42,ABC,"Alexandria , Minnesota",From affiliated station KS TP ( of which station is satellite ) and A le x andria
KSAZ-TV,10 PSIP 10,Fox,"Phoenix , Arizona",S pirit of A ri z ona ( former station slogan )
KSBI,23 PSIP 52,MyNetworkTV,"Oklahoma City , Oklahoma",
KSBW,8 PSIP 8,8.1 NBC 8.2 ABC,"Salinas , California",S alad B owl of the W orld
KSBY,15 PSIP/cable 6,NBC,"San Luis Obispo , California",
KSCC,38 PSIP 38,Fox,"Corpus Christi , Texas",
KSCE,21 PSIP 38,religious,"El Paso , Texas",
KSCI,18 PSIP 18,ethnic/independent,"Long Beach , California",
KSCW-DT,12 PSIP 33,The CW,"Wichita , Kansas",KS ( abbreviation for Kansas ) CW
KSDK,35 PSIP/cable 5,NBC,"St. Louis , Missouri",
KSEE,38 PSIP 24,NBC,"Fresno , California",( pronounce K - see )
KSFY-TV,13 PSIP 13,13.1 ABC 13.2 The CW,"Sioux Falls , South Dakota",
KSGW-TV,13 PSIP 12,ABC,"Sheridan , Wyoming","S heridan and G illette W yoming - Satellite of KHME Rapid City , South Dakota"
KSHB-TV,36 PSIP 41,NBC,"Kansas City , Missouri",S cripps H oward B roadcasting ( owner )
KSHV-TV,16 PSIP 45,MyNetworkTV,"Shreveport , Louisiana",SH re v eport
KSIN-TV,28 PSIP 27,PBS,"Sioux City , Iowa",
KSIX-TV,25 PSIP 6,The Family Channel,"Kailua Kona , Hawaii",
