No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 52.8 billion,46,United States,Microsoft
2,Warren Buffett,$ 35.0 billion,71,United States,Berkshire Hathaway
3,Karl and Theo Albrecht,$ 26.8 billion,82,Germany,Aldi Süd
4,Paul Allen,$ 25.2 billion,49,United States,Microsoft
5,Larry Ellison,$ 23.5 billion,57,United States,Oracle Corporation
6,Jim Walton *,$ 20.8 billion,54,United States,Wal-Mart
7,John Walton *,$ 20.7 billion,56,United States,Wal-Mart
8,Alice Walton *,$ 20.5 billion,53,United States,Wal-Mart
8,S. Robson Walton *,$ 20.5 billion,58,United States,Wal-Mart
8,Helen Walton *,$ 20.5 billion,82,United States,Wal-Mart
