Team,City,Autonomous community,Arena
AC1+ Piélagos,Renedo de Piélagos,Cantabria,Fernando Expósito
Arha Hoteles,Santander,Cantabria,Palacio de Deportes
Baskonia B,Vitoria-Gasteiz,Basque Country,Mendizorrotza
CB La Flecha,Arroyo de la Encomienda,Castile and León,La Vega
CB Santurtzi SK,Santurtzi,Basque Country,Mikel Trueba
CB Solares,Medio Cudeyo,Cantabria,Mies del Corro
Easo,San Sebastián,Basque Country,José Antonio Gasca
Goierri-Iparragirre 2020,Urretxu,Basque Country,Aldiri
Manteneo Filipenses,Palencia,Castile and León,Municipal
Megacalzado Ardoi,Zizur Mayor-Zizur Nagusia,Navarre,Municipal
Mondragón Unibersitatea,Mondragón,Basque Country,Iturripe
Nissan Grupo de Santiago,Burgos,Castile and León,El Plantío
Tabirako Baqué,Durango,Basque Country,Landako
Ulacia Zarautz,Zarautz,Basque Country,Aritzbatalde
