Year,Title,Notes
1964,Nightmare in Chicago,Television film
1967-1969,National Geographic Specials,4 episodes
1968,The Undersea World of Jacques Cousteau,1 episode
1971,Cannon,Pilot episode
1973,Guess Who 's Sleeping in My Bed ?,Television film
1976,Look What 's Happened to Rosemary 's Baby,Television film
1979,Champions : A Love Story,Television film
1979,Portrait of a Stripper,Television film
1980,Blinded by the Light,Television film
1982,The Kid From Nowhere,Television film
1988,Knightwatch,1 episode
1988,Roots : The Gift,Television film
1994,World War II : When Lions Roared,Miniseries ; 2 episodes
1999,Lansky,Television film
2000,Fail Safe,Television film
