Name,School,Teams played for ( years ),MVP won,All-Star
Danny Ildefonso *,NU,San Miguel/Petron Blaze ( 1998-2013 ) Meralco ( 2013-2015 ),"2 ( 2000 , 2001 )","( 1999-2001 , 2003-2005 , 2007 , 2009 )"
Willie Miller *,Letran,Batang Red Bull ( 2001-2003 ) Talk ' N Text ( 2004-2006 ) Alaska ( 2006-2010 ) Ginebra ( 2010-2011 ) Barako Bull ( 2011-2012 ) GlobalPort ( 2012-2013 ) Barako Bull ( 2013-2014 ) Talk ' N Text ( 2015 ),"2 ( 2002 , 2007 )","11 ( 2001 , 2003-2004 , 2006-2011 )"
James Yap,UE,Purefoods/B-Meg/San Mig Coffee/Star ( 2004 - 2016 ) Rain or Shine ( 2016 -present ),"2 ( 2006 , 2010 )",15 ( 2004-2018 )
Asi Taulava,BYU,Talk ' N Text ( 1999-2007 ) Coca-Cola Tigers ( 2007-2010 ) Meralco ( 2010-2012 ) Air21 ( 2013-2014 ) NLEX ( 2014-present ),1 ( 2003 ),"16 ( 1999 , 2001 , 2003-2012 , 2015-2018 )"
Eric Menk *,Lake Superior State,Tanduay ( 1999-2001 ) Barangay Ginebra ( 2001-2013 ) GlobalPort ( 2013-2014 ) Alaska ( 2014-2016 ),1 ( 2005 ),"10 ( 1999-2000 , 2003-2007 , 2009-2011 )"
Kelly Williams,Oakland,Sta . Lucia Realtors ( 2006-2010 ) Talk ' N Text/TNT ( 2010-present ),1 ( 2008 ),5 ( 2007-2011 )
Jayjay Helterbrand *,Kentucky State,Barangay Ginebra ( 2000-2017 ),1 ( 2009 ),7 ( 2004-2010 )
Jimmy Alapag *,Cal . State,Talk ' N Text ( 2003-2015 ) Meralco ( 2015-2016 ),1 ( 2011 ),"11 ( 2003-2011 , 2014-2015 )"
Mark Caguioa,Glendale CC,Barangay Ginebra ( 2001-present ),1 ( 2012 ),"12 ( 2001 , 2004-2008 , 2011-2013 , 2015-2017 )"
Arwind Santos,FEU,Air21 ( 2006-2009 ) San Miguel ( 2009-present ),1 ( 2013 ),"10 ( 2008-2015 , 2017 , 2018 )"
Jayson Castro,PCU,Talk ' N Text/TNT ( 2008-present ),,6 ( 2013-2018 )
Marc Pingris,FEU,FedEx Express ( 2004-2005 ) Purefoods ( 2005-2008 ) Magnolia/San Miguel ( 2008-2009 ) Purefoods/B-Meg/San Mig Coffee/Star ( 2009-present ),,14 ( 2005-2018 )
Kerby Raymundo *,Letran,Red Bull ( 2000-2001 ) Purefoods/B-Meg ( 2002-2012 ) Barangay Ginebra ( 2012-2013 ) Meralco ( 2013 ),,"10 ( 2001 , 2003-2011 )"
Chito Loyzaga *,San Beda,YCO-Tanduay ( 1981 ) Toyota ( 1983 ) Great Taste ( 1984-1985 ) Ginebra ( 1986-1993 ),,
Marlou Aquino *,Adamson,Ginebra/Gordon 's Gin/Barangay Ginebra ( 1996-2000 ) Sta . Lucia ( 2000-2010 ) Meralco ( 2010-2011 ),,
