Rank,Airport,Serves,Total passengers,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"49,507,418",5.0%
2,Vancouver International Airport,Metro Vancouver,"25,936,907",7.3%
3,Montréal-Trudeau International Airport,Greater Montreal,"19,425,488",7.0%
4,Calgary International Airport,Calgary Region,"17,343,402",6.6%
5,Edmonton International Airport,Edmonton Metropolitan Region,"8,254,121",5.8%
6,Ottawa Macdonald-Cartier International Airport,National Capital Region,"5,110,801",5.6%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg Capital Region,"4,484,343",4.2%
8,Halifax Stanfield International Airport,Halifax,"4,316,079",5.7%
9,Billy Bishop Toronto City Airport,Toronto,"2,807,208",
10,Kelowna International Airport,Kelowna / Okanagan Valley,"2,080,372",9.9%
11,Victoria International Airport,Greater Victoria,"2,048,627",5.9%
12,Québec City Jean Lesage International Airport,Quebec City,"1,774,871",6.2%
13,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"1,518,980",3.8%
14,St. John 's International Airport,St. John 's,"1,500,000",
15,Regina International Airport,Regina,"1,238,239",1.6%
16,Thunder Bay International Airport,Thunder Bay,"869,404",2.9%
17,Abbotsford International Airport,Abbotsford / Fraser Valley,"842,212",24.3%
18,John C. Munro Hamilton International Airport,Hamilton,"725,630",21.0%
19,Greater Moncton Roméo LeBlanc International Airport,Greater Moncton,"681,437",2.4%
20,Fort McMurray International Airport,Wood Buffalo,"639,923",10.3%
