Year,Actor,Show,Channel
2002,Shekhar Suman,Movers And Shakers,SAB TV
2003,Nikhil Chinappa Annu Kapoor & Pallavi Joshi,MTV Fresh ! Antakshari - The Great Challenge,MTV India Zee TV
2004,Sajid Khan,Ikke Pe Ikka,Zee TV
2005,Sajid Khan,Sab Kuch Ho Sakta Hai,SAB TV
2006,Sangeeta Ghosh & Shabbir Ahluwalia,Nach Baliye,Star One
2007,Javed Jaffrey & Naved Jaffrey,Boogie Woogie,Sony TV
2008,Ali Asgar ( actor ),Say Shava Shava,NDTV Imagine
2009,Meiyang Chang,Indian Idol 4,Sony TV
2010,Shahid Kapoor,Screen Awards,Star Plus
2011,Ayushmann Khurana,Just Dance,Star Plus
2012,Manish Paul,Jhalak Dikhhla Jaa,Colors TV
2013,Beverly Kim White,Thank God It 's Friday,
2014,Manish Paul,Jhalak Dikhhla Jaa,Colors TV
2015,Manish Paul,Jhalak Dikhhla Jaa,Colors TV
2016,Manish Paul,Jhalak Dikhhla Jaa,Colors TV
