Year,Winner,Score,Runner up
1984,Hércules CF,2-0,CA Peñarol
1985,Universidad Católica,0-0 ( p ),Hércules CF
1986,Cruzeiro,4-1,Hércules CF
1987,FC Barcelona,6-0,Hércules CF
1988,Hércules CF,1-1 ( p ),Bayer Leverkusen
1989,Rayo Vallecano,1-1 ( p ),Hércules CF
1990,Real Madrid CF,4-0,Hércules CF
1991,Real Madrid CF,2-0,Hércules CF
1992,Real Madrid CF,3-1,Hércules CF
1993,Real Madrid CF,6-2,Hércules CF
1994,Valencia CF,1-1 ( p ),Hércules CF
1995,Real Madrid CF,2-1,Atlético Celaya
1996,Atlético Madrid,3-3 ( p ),Hércules CF
1997,Not Held,,
1998,Real Madrid CF,2-1,Hércules CF
1999,Not Held,,
2000,Real Madrid CF,1-1 ( p ),SSC Napoli
2001,Real Madrid CF,1-0,Montpellier HSC
2002,Real Madrid CF,5-2,Dinamo Bucuresti
2010,Real Madrid CF,3-1,Hércules CF
