Team,City,Stadium,Manager
Astros Vasas FC,"Toronto , ON ( North York )",Esther Shiner Stadium,László Kiss
Brampton United,"Brampton , ON ( Bramalea )",Victoria Park Stadium,Juan Barreto
Burlington SC,"Burlington , ON",Nelson Stadium,William Etchu Tabi
Kingston FC,"Kingston , ON",Queens West Field,Colm Muldoon
London City,"London , ON ( Westmount )",Hellenic Com Centre,Tomo Dancetovic
Niagara United,"Niagara Falls , ON",Kalar Sports Park,James McGillivray
SC Waterloo Region,"Waterloo , ON",Warrior Field,Lazo Džepina
Serbian White Eagles,Toronto ( Etobicoke ),Centennial Park Stadium,Uroš Stamatović
St. Catharines Roma Wolves,St. Catharines ( Vansickle ),Club Roma Park,Carlo Arghittu
Toronto Croatia,Toronto ( Etobicoke ),Centennial Park Stadium,Velimir Crljen
Windsor Stars,"Windsor , ON",Windsor Stadium,Steve Vagnini
York Region Shooters,"Vaughan , ON ( Maple )",St. Joan of Arc Stadium,John Pacione
