#,Stadium,Capacity,City,Home team ( s ),Opened
1,Atatürk Olimpiyat Stadı,"76,761",Istanbul,Turkey,2002
2,Türk Telekom Stadı,"52,223",Istanbul,Galatasaray SK,2011
3,Atatürk Stadı,"51,337",Izmir,"Altay SK , Karşıyaka SK",1971
4,Şükrü Saracoğlu Stadı,"47,834",Istanbul,Fenerbahçe SK,1908
5,Bursa Büyükşehir Belediye Stadyumu,"43,361",Bursa,Bursaspor,2015
6,Torku Arena,"42,276",Konya,Konyaspor,2014
7,Vodafone Park,"41,188",Istanbul,Beşiktaş JK,2016
8,Medical Park Arena,"40,782",Trabzon,Trabzonspor,2017
9,Cebeci İnönü Stadium,"37,000",Ankara,closed indefinitely,1967
10,Kocaeli Stadı,"34,169",Izmit,Kocaelispor,2017
11,Samsun Stadı,"33,919",Samsun,Samsunspor,2017
12,Gaziantep Stadı,"33,502",Gaziantep,"Gaziantepspor , Gaziantep FK",2017
13,Diyarbakır Stadı,"33,000",Diyarbakır,"Amed S.K . , Diyarbekirspor",2018
14,Kadir Has Stadı,"32,864",Kayseri,"Kayserispor , Kayseri Erciyesspor",2009
15,Antalya Stadı,"32,537",Antalya,Antalyaspor,2015
16,Eskişehir Stadı,"32,507",Eskişehir,Eskişehirspor,2016
17,Şanlıurfa GAP Stadı,"28,965",Şanlıurfa,Şanlıurfaspor,2009
18,Sakarya Stadı,"28,113",Adapazarı,Sakaryaspor,2017
19,Yeni 4 Eylül Stadı,"27,532",Sivas,Sivasspor,2016
20,Malatya Stadı,"25,574",Malatya,Yeni Malatyaspor,2017
