Team,City,Stadium,Manager
Brampton United,"Brampton , ON ( Bramalea )",Victoria Park Stadium,Armando Costa
Brantford Galaxy,"Brantford , ON",Steve Brown Sports Complex,Ron Davidson
Kingston FC,"Kingston , ON",CaraCo Home Field,Colm Muldoon
London City,"London , ON ( Westmount )",Cove Road Stadium,Stanislav Zvezdic
Mississauga Eagles FC,"Mississauga , ON",Hershey Centre,Alex Szczotka
Montreal Impact Academy ( U21 ),"Montreal , QC",CS St. Jean De Vianney,Philippe Eullaffroy
Niagara United,"Niagara Falls , ON",Kalar Park Sports Field,James McGillivray
North York Astros,"Toronto , ON ( North York )",Esther Shiner Stadium,Gerardo Lezcano
SC Toronto,"Toronto , ON ( Liberty Village )",Lamport Stadium,Patrice Gheisar
SC Waterloo Region,"Waterloo , ON",Seagram Stadium St. David 's High School,Lazo Džepina
Serbian White Eagles,"Toronto , ON ( Etobicoke )",Centennial Park Stadium,Uroš Stamatović
St. Catharines Roma Wolves,St. Catharines ( Vansickle ),Club Roma,Carlo Arghittu
TFC Academy ( U18 ),"Toronto , ON ( North York )",Downsview Park,Danny Dichio
Toronto Croatia,"Toronto , ON ( Etobicoke )",Centennial Park Stadium,Velimir Crljen
Windsor Stars,"Windsor , ON",Windsor Stadium,Steve Vagnini
York Region Shooters,"Vaughan , ON ( Maple )",St. Joan of Arc High School,John Pacione
