Year,Winner,Loser,Wager
2000,Último Vampiro IV,Super Mega,Mask
2002,Mega,Karma,Mask
2003,Mega,Comando Alfa,Mask
2004,Black Dragon,Mega,Mask
2005,Masada,Cerebro Negro,Mask
2006,Ave Fénix,Macho II,Mask
2007,"Rayo de Jalisco , Jr",Enterrador 2000,Mask
November 2008,"Máscara Año 2000 , Jr",Arlequín Amarillo,Mask
December 2008,Oficial 911,Arlequín,Hair
2009,Oficial 911,Yack,Mask
2010,Comando Negro,Arlequín Negro,Mask
2011,Golden Magic,King Drako,Mask
2012,El Ángel,Oficial Fierro,Mask
2013,Golden Magic,Alan Extreme,Mask
2014,Golden Magic,Kenshin Kabuki,Mask
2015,Golden Magic,El Golpelador,Mask
2016,Uncertain,Zatura,Mask
2017,Black Dragón,Oficial Spartan,Mask
