Position,Player,From club,Fee
Head coach,Fandi Ahmad,Free agent,align=right| 0
DC,Afiq Yunos,Courts Young Lions,align=right| 0
Defender,Emmeric Ong,Courts Young Lions,align=right| 0
DC,Faliq Sudhir,Admiralty FC,align=right| 0
MF,Firdaus Kasman,Tampines Rovers FC,align=right| 0
MF,Samuel Benjamin Nadarajah,Courts Young Lions,align=right| 0
MF,Ignatius Ang,Courts Young Lions,align=right| 0
GK,Abdul Qadir Yusoff,Courts Young Lions,align=right| 0
ST,Khairul Amri,Tampines Rovers FC,align=right| 0
ST,Sufian Anuar,Warriors FC,align=right| 0
