Rank,Airport,Location,Code ( IATA/ICAO ),Total Cargo ( tonnes ),% Change
1,Hong Kong International Airport,"Chek Lap Kok , Islands , New Territories , Hong Kong",HKG/VHHH,"4,166,033",2.4%
2,Memphis International Airport,"Memphis , Tennessee , United States",MEM/KMEM,"4,137,801",3.0%
3,Shanghai Pudong International Airport,"Pudong , Shanghai , China",PVG/ZSPD,"2,928,527",0.3%
4,Incheon International Airport,"Incheon , Seoul National Capital Area , South Korea",ICN/RKSI,"2,464,384",0.3%
5,Dubai International Airport,"Dubai , United Arab Emirates",DXB/OMDB,"2,435,567",6.8%
6,Ted Stevens Anchorage International Airport,"Anchorage , Alaska , United States",ANC/PANC,"2,421,145",1.7%
7,Louisville International Airport,"Louisville , Kentucky , United States",SDF/KSDF,"2,216,079",2.2%
8,Frankfurt Airport,"Flughafen , Frankfurt , Hesse , Germany",FRA/EDDF,"2,094,453",1.4%
9,Paris-Charles de Gaulle Airport,"Seine-et-Marne / Seine-Saint-Denis / Val-d'Oise , Île-de-France , France",CDG/LFPG,"2,069,200",3.8%
10,Narita International Airport,"Narita , Chiba , Kantō , Honshū , Japan",NRT/RJAA,"2,019,844",0.7%
11,Miami International Airport,"Miami , Florida , United States",MIA/KMIA,"1,945,012",0.8%
12,Singapore Changi Airport,"Changi , East Region , Singapore",SIN/WSSS,"1,885,978",0.8%
13,Beijing Capital International Airport,"Chaoyang - Shunyi , Beijing , China",PEK/ZBAA,"1,843,681",2.4%
14,Los Angeles International Airport,"Los Angeles , California , United States",LAX/KLAX,"1,747,284",1.9%
15,Taiwan Taoyuan International Airport,"Dayuan , Taoyuan , Taiwan",TPE/RCTP,"1,571,814",0.4%
16,Amsterdam Airport Schiphol,"Haarlemmermeer , North Holland , Netherlands",AMS/EHAM,"1,565,961",3.6%
17,London Heathrow Airport,"Hayes , Hillingdon , Greater London , United Kingdom",LHR/EGLL,"1,515,056",2.6%
18,Guangzhou Baiyun International Airport,"Baiyun - Huadu , Guangzhou , Guangdong , China",CAN/ZGGG,"1,309,746",4.9%
19,John F. Kennedy International Airport,"New York City , New York , United States",JFK/KJFK,"1,295,473",0.8%
20,Suvarnabhumi Airport,"Racha Thewa , Bang Phli , Samut Prakan , Greater Bangkok , Central , Thailand",BKK/VTBS,"1,236,223",8.1%
