Waterfall,Watercourse,Drop,Type
Niagara Falls,Niagara River,53 m ( 174 ft ),Segmented Block
Horseshoe Falls,Niagara River,52 m ( 171 ft ),Segmented Block
Bridal Veil Falls,Kagawong River,11 m ( 36 ft ),Plunge
Bridal Veil Falls,Agawa River,69 m ( 226 ft ),
Chats Falls,Ottawa River,16.16 m ( 53.0 ft ),
Chaudière Falls,Ottawa River,60 m ( 200 ft ),
"Fenelon Falls , Ontario",Trent-Severn Waterway,15 m ( 49 ft ),Plunge
Fourth Falls,Larder River,,
Helen Falls,Lady Evelyn River,25 m ( 82 ft ),Cascade
Hog 's Back Falls,Rideau River,18 m ( 59 ft ),artificially created
Inglis Falls,Sydenham River,18 m ( 59 ft ),cascade
Kakabeka Falls,Kaministiquia River,40 m ( 130 ft ),Plunge
Onaping Falls,Onaping River,,Cascade
Rideau Falls,Rideau River,,
Rideau Chutes,Rideau River,,
Albion Falls,Red Hill Creek,19 m ( 62 ft ),classical/cascade
Ancaster Heights Falls,Tiffany tributary,13.4 m ( 44 ft ),high terraced ribbon cascade
Betzner Falls,Spring tributary,6.3 m ( 21 ft ),Twin Classic Cascade
Billy Green Falls,Battlefield Creek,17 m ( 56 ft ),Ribbon
