#,Parable,Matthew,Luke,Other parallels
1,Parable of the Sower,Matthew 13:1-23,Luke 08:04-18,Thomas 9 1 Clement 24:5
2,Parable of the Tares,Matthew 13:24-53,,Thomas 57
3,Parable of the Growing Seed,,,Thomas 21
4,Parable of the Hidden Treasure,Matthew 13:44,,Thomas 109
5,Parable of the Pearl,Matthew 13:45,,Thomas 76
6,Parable of Drawing in the Net,Matthew 13:47-53,,Thomas 8
7,Parable of the Rich Fool,,Luke 12:16-21,Thomas 63
8,Parable of the Faithful Servant,Matthew 24:42-51,Luke 12:35-48,Thomas 103 Didache 16:1a
9,Parable of the Mustard Seed,Matthew 13:31-32,Luke 13:18-19,Thomas 20
10,Parable of the Leaven,Matthew 13:33,Luke 13:20-21,Thomas 96
11,Parable of the Lost Sheep,Matthew 18:12-14,Luke 15:01-7,Thomas 107 Gospel of Truth 31-32
12,Parable of the Wicked Husbandmen,Matthew 21:33-46,Luke 20:9-19,Thomas 65
13,Parable of the talents or minas,Matthew 25:14-30,Luke 19:13-24,Nazoraeans 18
14,Parable of the great banquet,Matthew 22:1-14,Luke 14:15-24,Thomas 64
15,Parable of the strong man,Matthew 12:29-29,Luke 11:21-22,Thomas 35
