Event,Gold,Silver,Bronze
48 kg,Bratan Tsenov Bulgaria,Markus Scherer West Germany,Temo Kasarashvili Soviet Union
52 kg,Benur Pashayan Soviet Union,Erol Kemah Turkey,Lyubomir Zekov Bulgaria
57 kg,Masaki Eto Japan,Kamil Fatkulin Soviet Union,Petar Balov Bulgaria
62 kg,Hannu Lahtinen Finland,Günter Reichelt East Germany,Zhivko Vangelov Bulgaria
68 kg,Tapio Sipilä Finland,Mohammad Bana Iran,Gennady Ermilov Soviet Union
74 kg,Mikhail Mamiashvili Soviet Union,Andrzej Supron Poland,Karolj Kasap Yugoslavia
82 kg,Taymuraz Apkhazava Soviet Union,Lennart Lundell Sweden,Jarmo Övermark Finland
90 kg,Igor Kanygin Soviet Union,Atanas Komchev Bulgaria,Norbert Növényi Hungary
100 kg,Andrey Dimitrov Bulgaria,Jožef Tertei Yugoslavia,Viktor Avdyshev Soviet Union
+100 kg,Evgeny Artyukhin Soviet Union,Nikola Dinev Bulgaria,Cándido Mesa Cuba
