Year,Name,Area of Recognition,Achievements
2012,1972 Canadian Summit Series hockey team,"Team , ice hockey","Defeated the Soviet Union in the 1972 Summit Series , an eight game series"
1998,Bryan Adams,Musician,"Won a Grammy Award , nominated for three Academy Awards for songwriting ; also has a star on the Hollywood Walk of Fame . Adams was unable to attend his 1998 induction and was later honoured at a ceremony in 2008"
2006,Pamela Anderson,Actress ; model,Five-time Playboy cover girl ; also noted for her role in Baywatch
2005,Paul Anka,"Singer , songwriter","Credited with writing over 900 songs , member of the Songwriter 's Hall of Fame ; also has a star on the Hollywood Walk of Fame"
2014,Louise Arbour,"Jurist , lawyer/Philanthropy",Justice of the Supreme Court of Canada from 1999 to 2004 ; United Nations High Commissioner for Human Rights from 2004 to 2008 ; Companion of the Order of Canada
2004,Denys Arcand,Director,His 2003 film The Barbarian Invasions won an Academy Award for Best Foreign Language Film ; Companion of the Order of Canada
2006,Jann Arden,Musician,Winner of eight Juno Awards
2019,Will Arnett,Actor,
2001,Kenojuak Ashevak,"Painter , sculptor",Companion of the Order of Canada
2001,Margaret Atwood,Author,"Won the Booker Prize for The Blind Assassin , companion of the Order of Canada"
2002,Dan Aykroyd,"Actor , comedian",Nominated for an Academy Award for Best Supporting Actor in 1989 for Driving Miss Daisy ; charter member of Saturday Night Live
2012,Randy Bachman,"Musician , singer","Has earned 120 gold and platinum album/singles awards and sold over 40 million records worldwide as a solo artist and various bands , including The Guess Who and Bachman-Turner Overdrive"
2017,Donovan Bailey,"Athlete , sprinter",
2014,The Band,Musicians,Inducted into the Canadian Music Hall of Fame and the Rock and Roll Hall of Fame ; Honoured with The Recording Academy 's Grammy Lifetime Achievement Award
2008,Frances Bay,Actress,Won a Gemini Award for Road to Avonlea
2016,Jeanne Beker,Television personality,
2001,Jean Béliveau,"Athlete , ice hockey","Member of the Hockey Hall of Fame , two-time NHL MVP , won 10 Stanley Cups , companion of the Order of Canada"
2001,Alexander Graham Bell,Inventor,Inventor of the telephone
1998,Pierre Berton,Author,"Winner of four Governor General 's Awards , companion of the Order of Canada"
2009,Blue Rodeo,Musicians,"Won 11 Juno Awards , including five for Group of the Year"
